Song,Title,Singer,About,일치여부
"Rainy day (Feat. ASH ISLAND, Skinny Brown)",Rainy Day Women #12 & 35!,Bob Dylan,"Dylan wanted to hire an actual school marching band for the opening track on Blonde on Blonde so that the backing music had that amateurish, “ramshackle” sloppiness – but the marching band he heard played way too strict and tight.
The studio musicians in Nashville played it like they didn’t know what they were doing – because they were good enough to do so, although some musicians claim that they smoked a “huge amount” of marijuana and “got pretty wiped out”.
Dylan biographer, Robert Shelton, wrote in his book that he was told by Phil Spector that the inspiration for the song came when Spector and Dylan heard a Ray Charles song, “Let’s Go Get Stoned”.
The song is cryptic, and found some controversy as a “drug song”. Time magazine, on July 1, 1966, wrote:
In the shifting multi-level jargon of teenagers, ‘to get stoned’ does not mean to get drunk but to get high on drugs… a ‘rainy-day woman’, as any junkie knows, is a marijuana cigarette.
Despite reaching the top 10 in the US, UK, Canada and The Netherlands, the controversy caused the song to stop being played on some radio stations. Dylan lashed back, saying:
I’m not going to play any more concerts in England. I’d just like to say that the next song is what your English musical papers would call a ‘drug song’. I have never and never will write a ‘drug song’. I just don’t know how to. It’s not a ‘drug song’. It’s just vulgar.
(from No Direction Home: The Life and Music of Bob Dylan)
The title could also be a Biblical reference, taken from the Book of Proverbs “which contains a huge number of edicts for which one could genuinely get stoned”. In particular; chapter 27, verse 15:
A continual dropping in a very rainy day and a contentious woman are alike.
(from Gathered from Coincidence: A Singular History of Sixties' Pop)
According to some sources, the song got its name after two women, a mother and daughter, came in to the studio from the rain. Dylan guessed their ages correctly as 12 and 35.
In a 2012 interview with Rolling Stone, Dylan said when asked if he ever worries about people interpreting his work in misguided ways:
It doesn’t surprise me that some people would see it that way. But these are people that aren’t familiar with the Book of Acts.",불일치
METEOR,Meteor Shower!,Cavetown,The song “Meteor Shower” is about a person and who they love as they go through a metaphorical of a literal meteor shower. The person speaking cares very much about the other and would sacrifice many things for them and says so throughout the song.,불일치
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",사이렌 (Siren) (Remix)!,HOMIES (호미들),"The remix of Siren has surfaced March 20th.
With a strong melancholic hook from YDP Chin, his label-mate UNEDUCATED KID and the Canadian-Korean rapper Paul Blanco add each a verse reminiscing their childhood devastated by poverty and violence.",불일치
자니 (Feat. Dynamic Duo),자니 (Johnny)!,Primary (프라이머리),-,불일치
죽일 놈 (Guilty),죽일 놈 (Guilty),Dynamic Duo (다이나믹 듀오),-,일치
Closer Than This,Closer Than This,Jimin (지민),"As a beautiful heartfelt farewell, “Closer Than This” by Jimin encapsulates his message of love towards his fans, ARMY.
In the song’s lyrics, Jimin reminisces about his history with ARMY and sees that throughout every point of his musical journey, they were there. Next, he then acknowledges that although there is a pause in the time that he can physically be with ARMY, it is simply just that; a pause. It is a comma that will lead them to a new story filled with pages to write out new memories. Through this expression, Jimin shows that he is still there; his heart is closer than any pause that could try to separate them.
Jimin’s words in this song serve as his reminder to ARMY that he will always be close to them. The distance between them is only temporary and through ARMY singing this song with him, their love will span that distance and bring them closer than this.",일치
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)","헤어지지 못하는 여자, 떠나가지 못하는 남자 (Can’t Breakup Girl, Can’t Breakaway Boy)!",Leessang,"The song “Can’t Breakup Girl, Can’t Breakaway Boy” is part of Leessang’s 6th album Hexagonal. The song is featuring Jung In.
The song explores the theme of a dysfunctional relationship where both individuals find themselves unable to break up despite their lack of love for each other.",불일치
우산 (Feat. 윤하),우산 (Umbrella)!,EPIK HIGH (에픽하이),-,불일치
NOT SORRY (Feat. pH-1) (Prod. by Slom),Sorry Not Sorry!,Demi Lovato,"“Sorry Not Sorry” is an anthem towards Demi’s haters. In it, Demi confidently shows themselves off to their haters, which makes them feel annoyed that they’re (Demi) looking and feeling so good and they’re not. The track is lead single from their sixth album, Tell Me You Love Me.
The single was teased by Lovato and their team through cryptic updates on their social media accounts with the hashtag #SNS.
The song peaked at #6 on the Billboard Hot 100, which made it Demi Lovato’s highest career peak, besting their #9 peak of 2009’s “This Is Me.”",불일치
존재만으로,Wonstein - 존재만으로 (Your Existence) (Romanized)!,Genius Romanizations,-,불일치
Y (Please Tell Me Why),m y . l i f e!,"J. Cole, 21 Savage & Morray","On “m y . l i f e,” Cole recruits 21 Savage and Morray for a track on which they discuss the struggles of their respective come-ups and the benefits of their perseverance. They also speak on what their lives could have been like if they didn’t fight to make it out.
The instrumental of this track was first teased in Applying Pressure, the documentary for the album. Also in the short film, Cole and 21 Savage are seen having a discussion about the album, which can be considered foreshadowing his appearance on the record.
J. Cole has famously avoided features on his albums since 2014 Forest Hills Drive, turning it into a cultural phenomenon. This is notably the first of two tracks on The Off-Season that contain rapping from other artists, making them the first occurrences of a guest verse on a Cole solo album since 2013’s Born Sinner.",불일치
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",회전목마 (MERRY-GO-ROUND)!,sokodomo (소코도모),-,불일치
BATTER UP,BABYMONSTER - BATTER UP (Romanized)!,Genius Romanizations,"“BATTER UP” is BABYMONSTER’s first digital single released on November 27, 2023. Over a catchy rap-like beat, the members sing and rap about their confidence and introduce themselves to us in song.
On November 9th, the BABYMONSTER social media accounts teased a debut poster featuring the date of the release, and on November 19 the title of the single was revealed.
BATTER UP by BABYMONSTER is created by Jared Lee (Producer), ASA (BABYMONSTER), CHOI HYUN SUK, LEE CHANHYUK (이찬혁), WHERE THE NOISE, Yang Hyun Suk (양현석), BIGTONE (빅톤) (KOR), Chaz Mishan & Dee.P (KOR). A",불일치
GONE (Feat. Paloalto) (Prod. TOIL),МАМБЛ (MUMBLE)!,GONE.Fludd,"24 июня 2018 года Фладда опубликовал тизер клипа в своём Инстаграме.
А 25 июня 2018-го уже вышел сам клип, режиссёром которого стал Рустам Курташкин.
Спустя короткий промежуток времени после выпуска микстейпа Прилунение GONE.Fludd опубликовал ещё одну композицию — по звучанию она сильно отличается.
За бит ответственен Toreno.",불일치
문득,문득 (Out of the Blue)!,DOWOON,-,불일치
미안해서 미안해 (Feat. G.NA),미안해서 미안해 (Sorry)!,punchnello (펀치넬로),-,불일치
자격지심 (Feat. ZICO),자격지심 (Inferiority Complex)!,Park Kyung (박경),"Kicking off with a comforting R&B welcome, “자격지심 (Inferiority Complex)” is an song by Park Kyung, that surprisingly features EUNHA. Additionally, the song is the fourth track on his 2017 Notebook EP.
With the aforementioned track, it’s accompanied by EUNHA’s heavenly vocals and Park Kyung’s heavy raps that capture the feeling of getting your love rejected, but still loving that special person no matter what.",불일치
뜨거운 안녕 (Feat. 성시경),뜨거운 안녕 (Passionate goodbye)!,PSY,-,불일치
사랑을 했다 (LOVE SCENARIO),iKON - 사랑을 했다 (LOVE SCENARIO) (Romanized)!,Genius Romanizations,"Fronted by this playful hip-pop single “Love Scenario,” their second studio LP Return features 12 tracks that were all co-written or feature lyrics by members B.I and/or Bobby. YG Entertainment lablemates, including Psy, BIGBANG’s Taeyang, and Epik High’s Tablo, also had a role in songwriting tracks alongside some frequent collaborators, including Choice37 and Teddy Park.
(I can’t type the rest because that would be plagiarizing.)",불일치
작별인사 (Feat. Paul Blanco),AKMU - 작별 인사 (Farewell) (English Translation)!,Genius English Translations,-,불일치
Right Now (Feat. Crush),Right Now!,Uncle Murda,"Future and producer Metro Boomin connect with Uncle Murda for an moody club banger, which is most popular for a single line: “Young Metro don’t trust you I'ma shoot you.”
“Right Now” is where Future spits the lyric for the very first time, but it has since been sampled on Drake and Future’s “Jumpman” and Kanye West’s “Father Stretch My Hands, Pt. 1.”
The line has also become a popular meme.
Musically, the song is set in the club, where Future is posted with his boys (100 shooters to be exact) and spending lots of money (100 bottles), while Murda raps about uniting Bloods and Crips, and shooting at police.
Unlike most of his songs, Uncle Murda incorporates the use of auto-tune to create a warbly flow not unlike Future’s signature delivery.
The music video, shot by Eif Rivera, was released via World Star Hip-Hop on October 28, 2015. It includes cameos from Fabolous, DJ Clue and more.",불일치
HOT,Man’s Not Hot!,Big Shaq,"Released after the viral success of his freestyle on the BBC Radio 1 series Fire in the Booth, British comedian Michael Dapaah converted it into an official song titled “Man’s Not Hot” under the name Big Shaq, a parody character of the British “roadmen” culture.
The song was released under Island Records on September 22, 2017.
It has since spawned an official remix featuring notable British rappers Lethal Bizzle, Chip, Krept & Konan and Jme.",불일치
리무진 (Feat. MINO) (Prod. GRAY),리무진 (Limousine)!,BE’O,-,불일치
삐딱하게 (Crooked),삐딱하게 [CROOKED]!,G-Dragon (지드래곤),-,불일치
아무노래,ZICO - 아무노래 (Any Song) (English Translation)!,Genius English Translations,"“아무노래 (Any Song)” by ZICO has all the makings of a genre-bending hit which debuted at number four on Billboard’s World Digital Song Sales chart, and, popular video apps aside.
Over an array of jazzy piano keys and production that builds and evolves to emulate a party hitting its groove at 2 a.m., ZICO delivers a deceptively euphoric vibe.
In reality, “아무노래 (Any Song)” walks the tightrope between its blissful backing production and existential themes. ZICO sings of fleeting youth, built-up stress, and using music as a literal, momentary escape from his worries. It is a sentiment that may get lost in translation. Rapturous and melancholic in one fell swoop, it is a brilliant example of the multiplicity capable in pop.",불일치
AEAO,Dynamic Duo - AEAO (Romanized)!,Genius Romanizations,"The song “AEAO” by Dynamic Duo featuring DJ Premier discusses the challenges of pursuing one’s dreams in the face of a harsh reality. The rappers, 최자 and 개코, touch on themes such as resilience, perseverance, and self-doubt. In the first verse, 최자 describes how they had learned to pick themselves up every time they stumbled and relied on their loyalty to each other to overcome obstacles. Though they faced setbacks and struggles, they refused to lose hope and continued to pursue their dreams.
The chorus sung by 개코 expresses the desire for peace of mind and the wish to be able to share in life’s journey with loved ones until the end of time. The second verse, sung by 개코, touches on the difficulties of life, including the pressure to succeed, the daily grind, and fatigue. Despite these difficulties, the rappers recognize the importance of criticizing and supporting each other to sustain hope. They also acknowledge the inevitability of aging and the need to accept the wrinkles of life.
In the end, the sampled outro repeats that the game won’t change, that the same challenges and struggles in life will always persist. The song’s message is that even in a difficult reality, it is possible to pursue and achieve one’s dreams through perseverance, hope, and unwavering loyalty to oneself and others.",불일치
이 노래가 클럽에서 나온다면,이 노래가 클럽에서 나온다면 (Fire Up)!,Woody (우디),-,불일치
"검정색하트 (Feat. Leellamarz, BE'O)",검정색하트 (Black Heart)!,TOIL (토일),-,불일치
특,Stray Kids - 특 (S-Class) (Romanized)!,Genius Romanizations,"“S-Class” is a song by Stray Kids that means a special top class, and it’s related to ‘★★★★★ (5-STAR)’. The song embodies ‘Stray Kids’ inherent novelty and challenge’ and carries the message that ‘Among the odd ones, we are the most peculiar; among the special ones, we shine the most’. The English title is “S-Class”, which means like the highest class. The song composition feels like multiple songs combined, moving beyond diverse sound sources and song forms, delivering freshness.",불일치
Ballerino,Balla Balla Ballerino!,Lucio Dalla,-,불일치
아름다워,아름다워 (Beautiful)!,MONSTA X,-,불일치
내 생애 가장 행복한 시간 (Feat. 허각),"내 생애 가장 행복한 시간 Pt. 2 (The Happiest Time of My Life, Pt. 2)!",MC MONG (MC몽),-,불일치
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK - 뚜두뚜두 (DDU-DU DDU-DU) (Romanized)!,Genius Romanizations,"“뚜두뚜두 (DDU-DU DDU-DU)” is the trap-influenced title track from K-pop girl group BLACKPINK. The song was produced by YG Entertainment’s in-house producer Teddy Park, who has been behind many of K-pop’s biggest hits, including BLACKPINK’s previous singles.
In “DDU-DU DDU-DU,” the girls are unapologetically savage. They’re not shy about letting you know about the success they’ve amassed.
A teaser of the MV was released on June 13 by YG Entertainment, followed by the release of the official MV two days later, on June 15 at 6PM KST.",불일치
FWB,Friends with Benefits (FWB)!,KSI & MNDM,"KSI’s ode to friends with benefits (friends who have a sexual relationship without being emotionally involved). He has described the song as “like ‘Lamborghini’ but louder and cheaper”.
This single is notably more pop-sounding than KSI’s other songs, with electro-hop and EDM influences. KSI even stated that he was scared of how people would react, but was very happy to see positive reception.",불일치
"And July (Feat. DEAN, DJ Friz)",And July!,HEIZE (헤이즈),-,불일치
만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),"만남은 쉽고 이별은 어려워 (Meeting is easy, parting is hard)!",Basick (베이식),-,불일치
우리서로사랑하지는말자,우리서로사랑하지는말자 (Let’s Not Love Each Other)!,GIRIBOY (기리보이),-,불일치
Jasmine,The Schuyler Sisters!,"Phillipa Soo, Jasmine Cephas-Jones, Leslie Odom, Jr., Original Broadway Cast of “Hamilton” & Renée Elise Goldsberry","Referred to as the Destiny’s Child number of the musical, “The Schuyler Sisters” explosively introduces two of Hamilton’s major female players, Angelica and Eliza Schuyler… as well as their sister, Peggy, the Michelle Williams of the trio.
Give the modern attitude of the performers, listeners to the cast recording may hear the colloquial “werk,” particularly after Angelica’s badass line “I’m ‘a compel him to include women in the sequel;” however, the official, Miranda approved, liner notes transcribe all instances of the word as the formal “work.”
What we’re left with is an extended wordplay throughout the song between the conventional “work” and its modern cousin, to the point where it becomes impossible to parse which word is being used at any particular moment. This serves to conflate the two words/ideas—mixing exercising the mind with showing off, blending historical and modern ideas of fierceness—for the audience.
Alternatively, it creates a, perhaps conscious, dichotomy between the spoken and written word—one highlighting the sisters as contemporary women for their day, the other emphasizing their status as formidable founding mothers of our nation.",불일치
악몽,악몽 (Nightmare)!,ASH ISLAND,-,불일치
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),Walwal!,VVS Collective,-,불일치
마지막 인사,NCT DREAM - 마지막 인사 (To My First) (English Translation)!,Genius English Translations,"It’s a song that helps us move on from our memorable first loves. It looks back on the firsts, the memories, laughter, and the very mundane things about love.
We were all so young when we first felt love. And once it ends and we grow up, we tend to hold onto the entirety of the memories of it, thinking and knowing we could’ve done better. After all that time, the only feeling we felt aside from reminisce, was regret.
We hold onto those memories because we fear the loneliness and emptiness away from those happy times of feeling free and living.
The song states that it’s okay to be awkward and make mistakes when in love, but it guides us to the conclusion that we all must let go and say goodbye to the memories that we hold onto dearly, even if it pains us to do so because sometimes, holding on hurts, especially if there’s no one to help you back up again. No one but yourself",불일치
마이웨이 (MY WAY) (Prod. R.Tee),마이웨이 (MY WAY)!,"JUSTHIS, DON MALIK, Huh, KHAN, Mckdaddy & Los",-,불일치
멜로디,뻔한 멜로디 (Two melodies)!,Zion.T,-,불일치
예술이야,예술이야 (It’s Art)!,PSY,-,불일치
한여름밤의 꿀,한여름밤의 꿀: 다시 여름 (A Midsummer Night’s Sweetness: Summer Again)!,San E & Raina,-,불일치
MY BAG,MY BAG,(G)I-DLE,-,일치
그땐 그땐 그땐,그땐 그땐 그땐 (Then Then Then)!,Supreme Team (KOR),-,불일치
비 오는 날 듣기 좋은 노래 (Feat. Colde),Epik High - 비 오는 날 듣기 좋은 노래 (Rain Song) ft. Colde (English Translation)!,Genius English Translations,-,불일치
Stay With Me,Stay With Me,Sam Smith,"“Stay with Me” sees Smith yearning for a lasting relationship after a one-night stand leaves them craving more. One of their biggest hits, it’s gone #1 in countries like the United States, Canada, and Ireland, and even won two Grammy awards.
Written with Jimmy Napes and Tourist in Old Street, London studio, Smith claimed “the song just flowed out of us so naturally.” When Tourist played the first three chords, Napes quickly added a drum layer, and the rest of the track took only 30-40 minutes to write.
Upon the track’s release, listeners noticed similarities between “Stay With Me” and Tom Petty’s 1989 hit “I Won’t Back Down.” Smith’s team said that this was purely coincidental, but agreed to give Petty co-writer credits, and Petty stated that he has no ill feelings for Smith.
The music video was directed by Jamie Thraves, who also directed the music videos for Smith’s “Money On My Mind,” Radiohead’s “Just,” Coldplay’s “The Scientist,” by and Death Cab for Cutie’s “I Will Follow You into the Dark.” It features Sam walking down the street in Hackney, London, among other settings.",일치
네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),네가 없는 밤 (Without you)!,BE’O,-,불일치
Bk Love,BK Love!,MC Sniper,-,불일치
겁도 없이 (feat. BIG Naughty),겁도 없이 (Dare to Love)!,B.I,-,불일치
Counting Stars (Feat. Beenzino),Counting Stars!,OneRepublic,"The first track on OneRepublic’s third studio album Native, “Counting Stars” was inspired by lead singer Ryan Tedder’s writing sessions with Beyonce in the Hamptons. The song has sold over ten million copies in the United States alone.
The annotations on the left suggest a literal positive view of life and religion, an affirmation of care for his partner, a rejection of materialism and hope for the future.
Alternatively, it could be an ironic view of a questionable religious cult. Hence, the singer feels ‘something so right doing the wrong thing, something so wrong doing the right thing’. He’s ‘doing what he’s told’ mindlessly, without questioning. The crocodile in the music video could be a representation of the serpent. The cult leader is a dishonest bully who provokes convulsions in one woman. There are shady undertones to this lyric, depending on interpretation. A clever conundrum.",불일치
OUT OF MY SIGHT,OUT OF MY SIGHT,Leellamarz (릴러말즈),-,일치
뱅뱅뱅 (BANG BANG BANG),BIGBANG - 뱅뱅뱅 (BANG BANG BANG) (Romanized)!,Genius Romanizations,-,불일치
Nerdy Love (Feat. 백예린),Nerdy Love!,pH-1,-,불일치
빌었어,빌었어 (wish)!,CHANGMO (창모),-,불일치
대충 입고 나와,대충 입고 나와 (Natural)!,Woody (우디),-,불일치
SOLO,Solo!,Frank Ocean,"On “Solo,” Frank touches on various aspects of being alone, such as self-love or waiting for a call from your lover. It’s not entirely clear if this song is specifically about experiences he’s had.
The song’s title has two interpretations. Throughout the song, Frank sings about how he is alone, or solo, but, through the chorus Frank explains that he’s “so low” emotionally and that he needs to “get high.”",불일치
on the street (with J. Cole),on the street!,j-hope & J. Cole,"In his solo single “on the street"" j-hope shares his candid feelings toward fans. The song was released as a gift and a kind of ‘goodbye’ to them, as j-hope has initiated the enlistment process for completing his military service, which is mandatory in South Korea.
The title “on the street” refers to j-hope’s roots as a former competitive street dancer and a member of a Gwangju dance crew, NEURON. That got him on the path to being recruited by BigHit in 2010, and later to becoming a member of BTS. Hope on the street is also the name of j-hope's street dancing videos series he’s publishing since 2015.
For the song, j-hope invited renowned American rapper J. Cole. The song marks their first collaboration; however, it wasn’t that much of a surprise for his fans. j-hope showed admiration for Cole’s music before—he made a shout-out to Cole’s 2011 debut studio album, Cole World: The Sideline Story, in his verse in “힙합성애자 (Hip Hop Phile)” off BTS' first full studio album, 2014's Dark & Wild. Moreover, “Born Singer,” which describes BTS' journey from trainees to rookie idols, was written by j-hope, RM, and SUGA to the instrumental of Cole's “Born Sinner.” BTS released that song on SoundCloud in 2013, just a month after their debut, but in 2022 they got clearance from the original composers (including J. Cole) and released it officially as a part of their anthology album, PROOF. Both rappers finally met during 2022 Lollapalooza, where j-hope made history, becoming the first South Korean act to headline a main stage at a US festival.",불일치
Boys And Girls (Feat. Babylon),Boys and Girls!,Jaden,-,불일치
DNA,DNA.!,Kendrick Lamar,"On “DNA.,” Kendrick Lamar adopts multiple viewpoints; celebrating, critiquing, and exploring his black heritage and culture. In the music video, Kendrick and actor Don Cheadle appear to trade bars, engaging in an argument using the song’s lyrics during an interrogation scene. We also learn that “DNA” stands for “Dead Nigger Association.”
Lamar is wearing a traditional Kung Fu uniform throughout the piece. In an interview with Pitchfork, Don Cheadle confirmed that he inadvertently inspired the ‘Kung Fu Kenny’ persona. Cheadle portrayed a Chinese-speaking martial artist named Kenny in the 2001 action-comedy sequel Rush Hour 2.
At the beginning of the video, the song “YAH.” can be heard echoing above—almost as if it is playing in Kendrick’s head as the camera pans down. “YAH.” comes directly after “DNA.” on DAMN.’s tracklist.
Following his initial encounter with Cheadle, who seems to be portraying a law enforcement figure, the ending of “BLOOD.” suddenly begins playing; when Cheadle turns on the lie-detector device, he begins convulsing, almost as if in a trance. This snippet comes from the video of Geraldo Rivera criticizing Kendrick’s lyrics on “Alright,” one of his most successful singles. The music video also contains snippets from “Hood Politics,” another song from Lamar’s March 2015 award-winning album, To Pimp A Butterfly.
Lastly, the song’s second verse samples a different segment of the same Fox News clip from “BLOOD.” and it’s worth noting that “BLOOD.” precedes “DNA.” on the album.",불일치
고백(Go Back) (Feat.정인),고백합니다 (I Confess)!,SG Wannabe,-,불일치
"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",내일이 오면 (Tomorrow)!,lIlBOI (릴보이),-,불일치
널 너무 모르고,널 너무 모르고 (Don’t Know You)!,HEIZE (헤이즈),"“널 너무 모르고 (Don’t Know You)” is a song from Heize’s 3rd mini album You, clouds, rain.
The lyrics are about realizing that she didn’t truly understand her partner. She regrets not appreciating the little things and making him happy. She also feels guilty for not being able to give him anything in return for his love. In the end, she acknowledges that she didn’t know him well and that she didn’t give him the kind of love he wanted.",불일치
한 개도 몰라 (Feat. meenoi),한 개도 몰라 (I don’t know a single thing)!,Leellamarz (릴러말즈),-,불일치
WE LIKE 2 PARTY,WE LIKE 2 PARTY,BIGBANG (빅뱅),"“We Like 2 Party” is a single recorded by South Korean boy band BIGBANG. It was released digitally on June 5th, 2015, by YG Entertainment, as the fourth single from MADE Series, and the second from A.
“We Like 2 Party” was named one of the best music videos Of June 2015, and was described as “casual and inviting feeling the music video gives off from start to finish unscripted, ridiculous, and easily gets us into the party mood”.
The song ranked nine as the best 20 Korean singles in 2015 in Taiwan.
The “We Like 2 Party” music video was shot on Jeju Island on May 19, 2015. It features self-recorded footage from the members themselves; the members were drunk during the filming in order to have a more natural feeling for the music video, “You’ll be able to see the comfortable image of Big Bang rather than a more weighted-down Big Bang.” said a rep from the agency.
The music video showed a carefree side of Big Bang, playing, party and drinking alcohol, unlike their other songs, who have been known for their powerful image. Billboard gave a review of the song, saying that Big Bang showed the playful side of themselves, and also showed their strong friendship.",일치
뭐 어떡할까,뭐 어떡할까 (What Should I do)!,GIRIBOY (기리보이),-,불일치
왜요 왜요 왜?,왜요 왜요 왜? (Why?)!,PLAVE,-,불일치
Screen Time (Feat. Hoshi of SEVENTEEN),Screen Time!,EPIK HIGH (에픽하이),-,불일치
PARANOIA,Pusha Man/Paranoia!,Chance the Rapper,"“Pusha Man/Paranoia” is a two-part tale. While “Pusha Man” finds Chance acting a fool, living the life of the rapper, “Paranoia” is a personal moment as he describes how it really feels to live in Chicago and watch loved ones getting killed left and right almost every day, especially in the summer.
When Acid Rap was re-released on streaming platforms on June 2019, this song was split in two. So, “Pusha Man” and “Paranoia” are individual songs in that version.",불일치
너는 나 나는 너 (말하고 싶은 비밀 X 이서연 (프로미스나인)),"ZICO (지코) - 너는 나 나는 너 (I Am You, You Are Me) (English Translation)!",Genius English Translations,"For his solo single “I Am You, You Are Me” the rapper showcases a different side of himself with the mid-tempo R&B track.
A bumpin' beat, subtle bass line and electronica flourishes back Zico’s smooth croons to highlight that the 23-year-old really has a soothing voice.
The plot of the music video is simple and sweet, where Zico finds himself continuously matching clothes with a teller behind a counter at a convience store. Soon, they realize it’s not a coincidence.
Throughout the track, he touches on the ways a couple connects at a young age, from physically to adolescent beliefs in tarot cards and horoscopes.",불일치
사랑은,NCT DREAM - 사랑은 또다시 (Love Again) (English Translation)!,Genius English Translations,-,불일치
Paranoid,Paranoid,Post Malone,"“Paranoid” is the opening track to Post Malone’s long-awaited beerbongs & bentleys. Post details his doubts about his security and safety with his friends and his rise to fame. He feels as if people could be manipulating him for his fame and fortune and begins taking more precautions to protect himself.
During his 2021 Rolling Loud performance, Post said that the song’s inspiration comes from losing trust in one of his closest friends within the music industry. Further details about who this is in reference to are unclear.
This song could also be influenced by the 2017 controversy in which infamous YouTuber, Jake Paul, uploaded a since-deleted video that initially contained footage of Post Malone’s private property after seeing his interview with H3H3 Productions in which Post criticized Paul’s single, “It’s Everyday Bro”, and then proceeded to purchase Paul’s merch for an ironic joke soon after.",일치
Closer to You (feat. Major Lazer),Closer to You!,Jung Kook (정국),"“Closer to You” by Jungkook of BTS, is an enchanting track that beautifully encapsulates the yearning to be closer to someone special. The lyrics, woven into a tapestry of emotive melodies, convey the profound emotions the protagonist harbors for their beloved.
Diving deeper into the lyrics, the protagonist tries to persuade their beloved with strong affirmations that they will always be there for them. While doing this, they do not ignore the fact that there may be adversities that could cause the affirmations to fall short. Instead of giving up, the protagonist strengthens their resolve and states that those hardships will only bring them closer to their partner.
In the lyrics brought to life by Jungkook’s powerful vocals, there is a continuous theme of a person who will always fight for their partner; someone who doesn’t care about what anyone else says and will stand strong in their love and desire. Through this theme, it can be seen that this song is a part of the exposition of the story told throughout the album, “Golden.” It is a story about a person’s journey through a relationship from falling in love to breaking up.
“Closer to You” describes the stage of falling in love through lyrics that depict the desire a person has for their prospective partner. The lyrics make sure that the protagonist’s desire is built on a strong foundation of a vow to love and support their partner through every adversity. Additionally, they attempt to remove the fear usually associated with relationship problems by stating that those issues will only bring them closer.
Released alongside 11 songs, this track is part of Jungkook’s debut album, “Golden,” and showcases Jungkook’s vocal prowess and ability to convey deep emotions. The album, well-received by fans and critics, offers a glimpse into Jungkook’s musical journey and his growth as an artist. “Closer to You” stands out as a testament to Jungkook’s artistry, resonating with many and touching the hearts of listeners.",불일치
나쁜 X (Feat. CHANGMO),BIBI - 인생은 나쁜X (Life is a Bi…) (English Translation)!,Genius English Translations,-,불일치
Alone (Feat. 이하이),Hate Sleeping Alone!,Drake,"Bonus Track (only on iTunes) off of Take Care.
Here, Drake details a complicated relationship that he’s staying in just because he hates sleeping alone.
This song also contains back-up vocals from Trey Songz.
Trivia: The production on this track samples Club Paradise, one of the tracks Drake used to build up to the release of Take Care.
https://youtu.be/EfGOqrXcm_Y",불일치
NOT OK (Feat. 민니 ((여자)아이들)),I’m Not OK!,H.E.R.,"This song is about her admitting to her feelings of uneasiness and discomfort about her relationship. In the live performances of this song on the ”I Used to Know Her” tour, H.E.R. explains how this generation likes to hide their true feelings and pretend like everything is fine. She wants the listeners to know “it’s okay not to be okay”.

She says everyone has their own personal battles and struggles and can feel alone while fighting through the tribulations. The important thing to remember is that you do not ever have to be alone in your struggle. She also encourages her listeners to “check on the strong friend” as much as possible.",불일치
Wake Up (Prod. 코드 쿤스트),WAKE UP!,Travis Scott,"At the time of this song’s release, Travis Scott and The Weeknd were in relationships with Kylie Jenner and Bella Hadid, respectively; it is likely that their relationships served as inspiration for this sexually explicit track.
This is the second collaboration between Travis and Abel on ASTROWORLD, following “SKELETONS,” which immediately precedes this song.
Genius later reported that “WAKE UP” was originally intended to be a part of The Weeknd’s March 2018 EP My Dear Melancholy,, but the song was later repurposed for ASTROWORLD because it did not suit the EP.",불일치
Monster,Monster,Kanye West,"One of the most highlighted posse cuts of 2010, Kanye, Rick Ross, JAY-Z, and Nicki Minaj boast on how they’re a “Monster” on the mic. Fittingly, the song comes with a couple of horror movie references.
In a September 2010 MTV News interview, Rick Ross explained the origin behind the song:
I was actually in the studio with Kanye in Hawaii when he played the concept for me. I was blown away. I had the opportunity to sit in the studio while Nicki wrote her verse just off the record.
The song was originally released as a G.O.O.D. Friday track on August 27, 2010 before Ye replaced it with the “Runaway Love (Remix)” with himself, Justin Bieber and Raekwon. He, then, re-released “Monster” on October 23, 2010 as the third single from My Beautiful Dark Twisted Fantasy and it peaked at #18 on the Billboard Hot 100 chart.
The song’s official music video, directed by Jake Nava, features dark, horror related imagery, with references with several horror movies, such as American Psycho and Saw. It became widely controversial on release, with medias labeling it as graphic, racist and sexist. As a result, it was banned on MTV and removed from Kanye’s YouTube account.",일치
"Smoke Remix (Prod. Dynamicduo, Padi)",Who Want Smoke?? (Remix)!,Nardo Wick,"For the remix of his breakout single, Nardo Wick enlists the help of recording artists Lil Durk, 21 Savage and G Herbo, and Cole Benett for the song’s visuals.
With a Chicago drill cadence, Lil Durk takes the opportunity to respond to those telling him to “Slide for Von” online whilst discussing the levels of violence and potential criminality involved in his lifestyle, alongside everyone else featured.
The conclusion of 21 Savage’s verse garnered viral acclaim through TikTok and other socials – accumulating 139,200 videos as of November 2021.",불일치
